timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1594609380015,6980,http://192.168.99.100:5000/,200,OK,Search_Skill_Thread_Group 1-2,text,true,,5836891,8260,10,10,http://192.168.99.100:5000/,255,0,131
1594609380015,262,http://192.168.99.100:5000/-0,200,OK,Search_Skill_Thread_Group 1-2,text,true,,2021,362,10,10,http://192.168.99.100:5000/,255,0,131
1594609380519,4791,http://192.168.99.100:5000/-1,200,OK,Search_Skill_Thread_Group 1-2,text,true,,4602,392,10,10,"https://fonts.googleapis.com/css?family=Montserrat:400,700",4604,0,4405
1594609380520,4792,http://192.168.99.100:5000/-2,200,OK,Search_Skill_Thread_Group 1-2,text,true,,3872,406,10,10,"https://fonts.googleapis.com/css?family=Lato:400,700,400italic,700italic",4747,0,4402
1594609380519,6475,http://192.168.99.100:5000/-3,200,OK,Search_Skill_Thread_Group 1-2,text,true,,794071,797,10,10,http://192.168.99.100:5000/css/semantic.css,464,0,37
1594609380539,527,http://192.168.99.100:5000/-4,200,OK,Search_Skill_Thread_Group 1-2,text,true,,17723,379,10,10,http://192.168.99.100:5000/css/MarsTheme.css,410,0,16
1594609380517,1386,http://192.168.99.100:5000/-5,200,OK,Search_Skill_Thread_Group 1-2,text,true,,412561,379,10,10,http://192.168.99.100:5000/css/scheduler.css,380,0,39
1594609380517,786,http://192.168.99.100:5000/-6,200,OK,Search_Skill_Thread_Group 1-2,text,true,,278520,380,10,10,http://192.168.99.100:5000/js/jquery-3.2.1.js,128,0,0
1594609381305,1172,http://192.168.99.100:5000/-7,200,OK,Search_Skill_Thread_Group 1-2,text,true,,769533,376,10,10,http://192.168.99.100:5000/js/semantic.js,567,0,141
1594609382315,379,http://192.168.99.100:5000/-8,200,OK,Search_Skill_Thread_Group 1-2,text,true,,3482,378,10,10,http://192.168.99.100:5000/util/Mars-lib.js,379,0,180
1594609382478,108,http://192.168.99.100:5000/-9,200,OK,Search_Skill_Thread_Group 1-2,text,true,,8601,404,10,10,http://192.168.99.100:5000/util/NotificationFx/js/modernizr.custom.js,107,0,0
1594609382586,179,http://192.168.99.100:5000/-10,200,OK,Search_Skill_Thread_Group 1-2,text,true,,2141,395,10,10,http://192.168.99.100:5000/util/NotificationFx/js/classie.js,179,0,0
1594609382701,1080,http://192.168.99.100:5000/-11,200,OK,Search_Skill_Thread_Group 1-2,text,true,,73407,400,10,10,http://192.168.99.100:5000/util/NotificationFx/js/snap.svg-min.js,308,0,109
1594609382767,120,http://192.168.99.100:5000/-12,200,OK,Search_Skill_Thread_Group 1-2,text,true,,4407,402,10,10,http://192.168.99.100:5000/util/NotificationFx/js/notificationFx.js,120,0,0
